,duration,price,price_currency,stops,departure,arrival,company,self_transfer,fare_isChangeAllowed,fare_isPartiallyChangeable,fare_isCancellationAllowed,fare_isPartiallyRefundable,score,origin_airport,destination_airport
0,130,225,€,0,2024-11-08 13:20:00,2024-11-08 15:30:00,transavia,False,False,False,False,False,0.999,Madrid,Paris Orly
1,130,255,€,0,2024-11-08 09:00:00,2024-11-08 11:10:00,transavia,False,False,False,False,False,0.841351,Madrid,Paris Orly
2,115,278,€,0,2024-11-08 16:30:00,2024-11-08 18:25:00,Air Europa,False,False,False,False,False,0.66002,Madrid,Paris Orly
3,115,365,€,0,2024-11-08 08:00:00,2024-11-08 09:55:00,Air Europa,False,False,False,False,False,0.576296,Madrid,Paris Orly
4,115,322,€,0,2024-11-08 14:25:00,2024-11-08 16:20:00,Air Europa,False,False,False,False,False,0.547622,Madrid,Paris Orly
5,130,445,€,0,2024-11-08 08:00:00,2024-11-08 10:10:00,Iberia,False,False,False,False,False,0.52936,Madrid,Paris Charles de Gaulle
6,130,358,€,0,2024-11-08 15:50:00,2024-11-08 18:00:00,Iberia,False,False,False,False,False,0.523089,Madrid,Paris Charles de Gaulle
7,130,504,€,0,2024-11-08 10:00:00,2024-11-08 12:10:00,Air France,False,False,False,False,False,0.522376,Madrid,Paris Charles de Gaulle
8,125,477,€,0,2024-11-08 11:30:00,2024-11-08 13:35:00,Iberia,False,False,False,False,False,0.514056,Madrid,Paris Orly
9,140,400,€,0,2024-11-08 06:00:00,2024-11-08 08:20:00,Air France,False,False,False,False,False,0.505075,Madrid,Paris Charles de Gaulle
10,125,331,€,0,2024-11-08 16:05:00,2024-11-08 18:10:00,Iberia,False,False,False,False,False,0.482304,Madrid,Paris Orly
11,125,445,€,0,2024-11-08 14:30:00,2024-11-08 16:35:00,Iberia,False,False,False,False,False,0.477135,Madrid,Paris Orly
12,125,466,€,0,2024-11-08 07:20:00,2024-11-08 09:25:00,Iberia,False,False,False,False,False,0.455267,Madrid,Paris Orly
13,125,517,€,0,2024-11-08 11:30:00,2024-11-08 13:35:00,Vueling Airlines,False,False,False,False,False,0.448939,Madrid,Paris Orly
14,130,283,€,0,2024-11-08 21:40:00,2024-11-08 23:50:00,Iberia,False,False,False,False,False,0.417427,Madrid,Paris Charles de Gaulle
15,125,384,€,0,2024-11-08 18:05:00,2024-11-08 20:10:00,Iberia,False,False,False,False,False,0.41005,Madrid,Paris Orly
16,130,452,€,0,2024-11-08 17:55:00,2024-11-08 20:05:00,Air France,False,False,False,False,False,0.405807,Madrid,Paris Charles de Gaulle
17,125,381,€,0,2024-11-08 16:05:00,2024-11-08 18:10:00,Vueling Airlines,False,False,False,False,False,0.399967,Madrid,Paris Orly
18,130,495,€,0,2024-11-08 15:50:00,2024-11-08 18:00:00,Vueling Airlines,False,False,False,False,False,0.399857,Madrid,Paris Charles de Gaulle
19,125,517,€,0,2024-11-08 14:30:00,2024-11-08 16:35:00,Vueling Airlines,False,False,False,False,False,0.390671,Madrid,Paris Orly
20,125,517,€,0,2024-11-08 07:20:00,2024-11-08 09:25:00,Vueling Airlines,False,False,False,False,False,0.374994,Madrid,Paris Orly
21,125,409,€,0,2024-11-08 18:05:00,2024-11-08 20:10:00,Vueling Airlines,False,False,False,False,False,0.345032,Madrid,Paris Orly
22,130,273,€,0,2024-11-08 19:30:00,2024-11-08 21:40:00,Ryanair,False,False,False,False,False,0.325356,Madrid,Paris Beauvais
23,130,473,€,0,2024-11-08 20:40:00,2024-11-08 22:50:00,transavia,False,False,False,False,False,0.282266,Madrid,Paris Orly
24,130,416,€,0,2024-11-08 21:40:00,2024-11-08 23:50:00,Vueling Airlines,False,False,False,False,False,0.279239,Madrid,Paris Charles de Gaulle
25,125,564,€,0,2024-11-08 09:55:00,2024-11-08 12:00:00,Iberia,False,False,False,False,False,0.259299,Madrid,Paris Orly
26,130,544,€,0,2024-11-08 16:20:00,2024-11-08 18:30:00,Air France,False,False,False,False,False,0.258683,Madrid,Paris Charles de Gaulle
27,130,602,€,0,2024-11-08 12:25:00,2024-11-08 14:35:00,Air France,False,False,False,False,False,0.233743,Madrid,Paris Charles de Gaulle
28,130,604,€,0,2024-11-08 08:00:00,2024-11-08 10:10:00,Vueling Airlines,False,False,False,False,False,0.232791,Madrid,Paris Charles de Gaulle
29,305,277,€,1,2024-11-08 06:35:00,2024-11-08 11:40:00,Iberia Express,False,False,False,False,False,0.196686,Madrid,Paris Orly
30,140,665,€,0,2024-11-08 06:00:00,2024-11-08 08:20:00,Scandinavian Airlines,False,False,False,False,False,0.196506,Madrid,Paris Charles de Gaulle
31,130,794,€,0,2024-11-08 10:00:00,2024-11-08 12:10:00,Scandinavian Airlines,False,False,False,False,False,0.177246,Madrid,Paris Charles de Gaulle
32,130,926,€,0,2024-11-08 16:20:00,2024-11-08 18:30:00,Scandinavian Airlines,False,False,False,False,False,0.151875,Madrid,Paris Charles de Gaulle
33,340,380,€,1,2024-11-08 18:00:00,2024-11-08 23:40:00,ITA Airways,False,False,False,False,False,0.141498,Madrid,Paris Charles de Gaulle
34,295,456,€,1,2024-11-08 15:50:00,2024-11-08 20:45:00,British Airways,False,False,False,False,False,0.136019,Madrid,Paris Charles de Gaulle
