,name,url,price_currency,total_price_amount,distance_city_center_km,score,n_comments,close_to_metro,sustainability_cert,room_type,double_bed,single_bed,free_cancellation,breakfast_included,pay_at_hotel,location_score,free_taxi
10,Hotel Hansablick,https://www.booking.com/hotel/de/hansablick.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=6604002_391597828_2_1_0&highlighted_blocks=6604002_391597828_2_1_0&matching_block_id=6604002_391597828_2_1_0&sr_pri_blocks=6604002_391597828_2_1_0__58000&from_sustainable_property_sr=1&from=searchresults,€,580,2.7,8.3,1596,Yes,No,Habitación Doble Estándar,No,Yes,Yes,Yes,Yes,9.0,No
11,"The Ritz-Carlton, Berlin",https://www.booking.com/hotel/de/the-ritz-carlton-berlin.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=7395701_275272594_0_1_0&highlighted_blocks=7395701_275272594_0_1_0&matching_block_id=7395701_275272594_0_1_0&sr_pri_blocks=7395701_275272594_0_1_0__178500&from_sustainable_property_sr=1&from=searchresults,€,1785,0.7,9.0,1180,Yes,Yes,Habitación Deluxe con cama extragrande,Yes,No,Yes,Yes,Yes,9.5,No
12,"Crowne Plaza Berlin City Centre Ku'damm, an IHG Hotel",https://www.booking.com/hotel/de/crownplazaberlincitycentre.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=6056823_376233878_2_33_0&highlighted_blocks=6056823_376233878_2_33_0&matching_block_id=6056823_376233878_2_33_0&sr_pri_blocks=6056823_376233878_2_33_0__54705&from_sustainable_property_sr=1&from=searchresults,€,547,2.8,8.3,5911,Yes,No,Habitación Estándar,No,No,No,No,No,9.3,No
13,Hampton by Hilton Berlin City Centre Alexanderplatz,https://www.booking.com/hotel/de/hampton-by-hilton-berlin-city-centre-alexanderplatz.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=225874502_338821085_2_1_0&highlighted_blocks=225874502_338821085_2_1_0&matching_block_id=225874502_338821085_2_1_0&sr_pri_blocks=225874502_338821085_2_1_0__58975&from_sustainable_property_sr=1&from=searchresults,€,590,3.0,8.1,14509,Yes,Yes,Habitación con cama grande y vistas al jardín,Yes,No,No,No,No,,No
14,Living Hotel Großer Kurfürst,https://www.booking.com/hotel/de/kurfuerstderag.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=6015430_378784797_2_1_0&highlighted_blocks=6015430_378784797_2_1_0&matching_block_id=6015430_378784797_2_1_0&sr_pri_blocks=6015430_378784797_2_1_0__76545&from_sustainable_property_sr=1&from=searchresults,€,765,2.2,8.4,4175,Yes,Yes,Habitación Doble Business,Yes,No,Yes,Yes,Yes,,No
15,Classik Hotel Hackescher Markt - Self Check In,https://www.booking.com/hotel/de/hotelhackeschermarkt.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__66400&from_sustainable_property_sr=1&from=searchresults,€,664,1.8,8.4,555,Yes,Yes,Classic room ,Yes,No,No,No,No,9.6,No
16,Park Inn by Radisson Berlin Alexanderplatz,https://www.booking.com/hotel/de/park-inn-berlin-alexanderplatz.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=6384732_129565388_0_33_0&highlighted_blocks=6384732_129565388_0_33_0&matching_block_id=6384732_129565388_0_33_0&sr_pri_blocks=6384732_129565388_0_33_0__89040&from_sustainable_property_sr=1&from=searchresults,€,890,2.6,7.6,18600,Yes,Yes,Habitación Doble Panorama,Yes,Yes,Yes,Yes,Yes,9.4,No
17,Hotel Berlin Mitte by Campanile,https://www.booking.com/hotel/de/nordic-berlin-mitte.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=30781113_393828233_2_1_0&highlighted_blocks=30781113_393828233_2_1_0&matching_block_id=30781113_393828233_2_1_0&sr_pri_blocks=30781113_393828233_2_1_0__65520&from_sustainable_property_sr=1&from=searchresults,€,655,1.5,7.6,2281,Yes,No,Habitación Doble Estándar - 1 o 2 camas,Yes,Yes,Yes,Yes,Yes,,No
18,Pestana Berlin Tiergarten,https://www.booking.com/hotel/de/pestana-berlin-tiergarten.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=29318408_298169536_0_1_0_665542&highlighted_blocks=29318408_298169536_0_1_0_665542&matching_block_id=29318408_298169536_0_1_0_665542&sr_pri_blocks=29318408_298169536_0_1_0_665542_72412&from_sustainable_property_sr=1&from=searchresults,€,724,2.1,8.1,6164,Yes,No,"Habitación Doble Deluxe - planta alta

",Yes,No,Yes,Yes,Yes,,No
19,H2 Hotel Berlin-Alexanderplatz,https://www.booking.com/hotel/de/h2-berlin-alexanderplatz.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=26689712_380549465_0_1_0&highlighted_blocks=26689712_380549465_0_1_0&matching_block_id=26689712_380549465_0_1_0&sr_pri_blocks=26689712_380549465_0_1_0__59000&from_sustainable_property_sr=1&from=searchresults,€,590,2.7,8.2,19797,Yes,No,Habitación Sorpresa - Habitación revelada a la llegada,No,No,No,No,No,9.3,No
20,Catalonia Berlin Mitte,https://www.booking.com/hotel/de/catalonia-berlin-mitte.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=87745601_194581511_0_1_0&highlighted_blocks=87745601_194581511_0_1_0&matching_block_id=87745601_194581511_0_1_0&sr_pri_blocks=87745601_194581511_0_1_0__79200&from_sustainable_property_sr=1&from=searchresults,€,792,2.7,8.4,4941,Yes,Yes,Habitación Doble Estándar,Yes,Yes,Yes,Yes,Yes,,No
21,Hotel AMANO Grand Central,https://www.booking.com/hotel/de/amano-grand-central.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=139710902_341548963_0_1_0_244982&highlighted_blocks=139710902_341548963_0_1_0_244982&matching_block_id=139710902_341548963_0_1_0_244982&sr_pri_blocks=139710902_341548963_0_1_0_244982_84316&from_sustainable_property_sr=1&from=searchresults,€,843,1.4,8.2,10843,Yes,No,Habitación Doble Confort - 1 o 2 camas,Yes,Yes,Yes,Yes,Yes,9.3,No
