,name,url,price_currency,total_price_amount,distance_city_center_km,score,n_comments,close_to_metro,sustainability_cert,room_type,double_bed,single_bed,free_cancellation,breakfast_included,pay_at_hotel,location_score,free_taxi
0,"InterContinental Berlin, an IHG Hotel",https://www.booking.com/hotel/de/interconti-berlin.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=6190110_376233955_2_33_0&highlighted_blocks=6190110_376233955_2_33_0&matching_block_id=6190110_376233955_2_33_0&sr_pri_blocks=6190110_376233955_2_33_0__64352&from_sustainable_property_sr=1&from=searchresults,€,644,2.4,8.8,3828,Yes,No,Habitación Clásica,Yes,Yes,No,No,No,,No
1,"Holiday Inn Express - Berlin - Alexanderplatz, an IHG Hotel",https://www.booking.com/hotel/de/holiday-inn-express-berlin-alexanderplatz.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=215431106_375274527_2_1_0&highlighted_blocks=215431106_375274527_2_1_0&matching_block_id=215431106_375274527_2_1_0&sr_pri_blocks=215431106_375274527_2_1_0__68670&from_sustainable_property_sr=1&from=searchresults,€,687,2.4,8.4,10416,Yes,No,Habitación Estándar,Yes,Yes,Yes,Yes,Yes,,No
2,Hotel Gat Point Charlie,https://www.booking.com/hotel/de/gat-point-charlie.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=19150406_384074794_2_1_0_471790&highlighted_blocks=19150406_384074794_2_1_0_471790&matching_block_id=19150406_384074794_2_1_0_471790&sr_pri_blocks=19150406_384074794_2_1_0_471790_67620&from_sustainable_property_sr=1&from=searchresults,€,676,1.1,8.2,7993,Yes,Yes,Habitación Doble Grande,Yes,Yes,Yes,Yes,Yes,9.4,No
3,"Hotel Berlin, Berlin, a member of Radisson Individuals",https://www.booking.com/hotel/de/bbberlin.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=6005301_93701883_2_1_0&highlighted_blocks=6005301_93701883_2_1_0&matching_block_id=6005301_93701883_2_1_0&sr_pri_blocks=6005301_93701883_2_1_0__61005&from_sustainable_property_sr=1&from=searchresults,€,610,2.1,8.0,17744,Yes,Yes,Habitación Estándar,No,Yes,No,No,No,,No
4,Berlin Marriott Hotel,https://www.booking.com/hotel/de/marriott-am-potsdamer-platz.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=7395303_327318964_2_1_0&highlighted_blocks=7395303_327318964_2_1_0&matching_block_id=7395303_327318964_2_1_0&sr_pri_blocks=7395303_327318964_2_1_0__101535&from_sustainable_property_sr=1&from=searchresults,€,1015,0.6,8.6,2826,Yes,Yes,Habitación Deluxe - 1 cama extragrande,Yes,No,Yes,Yes,Yes,9.5,No
5,Hotel Adlon Kempinski Berlin,https://www.booking.com/hotel/de/adlon-kempinski-berlin.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=6266504_127366021_2_1_0_355834&highlighted_blocks=6266504_127366021_2_1_0_355834&matching_block_id=6266504_127366021_2_1_0_355834&sr_pri_blocks=6266504_127366021_2_1_0_355834_163350&from_sustainable_property_sr=1&from=searchresults,€,1633,200.0,9.2,4130,Yes,Yes,Habitación Doble Deluxe,Yes,No,Yes,Yes,Yes,9.3,No
6,HighPark Berlin am Potsdamer Platz,https://www.booking.com/hotel/de/high-park-apartments-by-palmira.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=282307405_107333067_2_1_0&highlighted_blocks=282307405_107333067_2_1_0&matching_block_id=282307405_107333067_2_1_0&sr_pri_blocks=282307405_107333067_2_1_0__70351&from_sustainable_property_sr=1&from=searchresults,€,704,1.4,8.8,5043,Yes,No,Estudio Individual,Yes,No,No,No,No,9.3,No
7,Hotel Lützow,https://www.booking.com/hotel/de/la1-4tzow.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=36459315_395608873_0_1_0&highlighted_blocks=36459315_395608873_0_1_0&matching_block_id=36459315_395608873_0_1_0&sr_pri_blocks=36459315_395608873_0_1_0__44800&from_sustainable_property_sr=1&from=searchresults,€,448,2.2,7.4,3180,Yes,No,Habitación Doble con literas - 2 camas,No,No,Yes,Yes,No,,No
8,Meliá Berlin,https://www.booking.com/hotel/de/melia-berlin.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=6459615_338448188_2_1_0_501910&highlighted_blocks=6459615_338448188_2_1_0_501910&matching_block_id=6459615_338448188_2_1_0_501910&sr_pri_blocks=6459615_338448188_2_1_0_501910_116402&from_sustainable_property_sr=1&from=searchresults,€,1164,1.0,8.5,8359,Yes,Yes,Habitación Doble Deluxe con vistas a la ciudad,No,No,No,No,No,9.6,No
9,The Social Hub Berlin Alexanderplatz,https://www.booking.com/hotel/de/the-social-hub-berlin.es.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9iZXJsaW5IClgEaEaIAQGYAQq4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvWQ1rgGwAIB0gIkYzI1YzA5YWUtMDhhMC00OGM1LTliODgtZWE4ZjdkZDM0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-13&checkout=2024-11-17&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=d4b2a03a1da80078&srepoch=1729464457&all_sr_blocks=498141201_278504290_0_1_0_264295&highlighted_blocks=498141201_278504290_0_1_0_264295&matching_block_id=498141201_278504290_0_1_0_264295&sr_pri_blocks=498141201_278504290_0_1_0_264295_68107&from_sustainable_property_sr=1&from=searchresults,€,681,2.8,8.2,8510,Yes,No,Habitación Estándar - 1 cama grande ,Yes,No,Yes,Yes,No,,No
