,name,url,price_currency,total_price_amount,distance_city_center_km,score,n_comments,close_to_metro,sustainability_cert,room_type,double_bed,single_bed,free_cancellation,breakfast_included,pay_at_hotel,location_score,free_taxi
0,Five Boutique Hotel Paris Quartier Latin,https://www.booking.com/hotel/fr/the-five.es.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gKWARoRogBAZgBCrgBF8gBDNgBAegBAfgBA4gCAagCA7gCnpDWuAbAAgHSAiQ5Y2Q0NjNmMS0zNWRkLTQzM2YtYmIzMy05YmFiOWFmODA4NTTYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-11-08&checkout=2024-11-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=427da00fc2e40178&srepoch=1729464423&all_sr_blocks=5408322_401668028_0_1_0_196502&highlighted_blocks=5408322_401668028_0_1_0_196502&matching_block_id=5408322_401668028_0_1_0_196502&sr_pri_blocks=5408322_401668028_0_1_0_196502_117480&from_sustainable_property_sr=1&from=searchresults,€,1175,2.1,8.3,169,Yes,No,Habitación Doble Superior,Yes,No,Yes,Yes,No,,No
1,Sonder Le Frochot,https://www.booking.com/hotel/fr/opera-frochot.es.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gKWARoRogBAZgBCrgBF8gBDNgBAegBAfgBA4gCAagCA7gCnpDWuAbAAgHSAiQ5Y2Q0NjNmMS0zNWRkLTQzM2YtYmIzMy05YmFiOWFmODA4NTTYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-11-08&checkout=2024-11-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=427da00fc2e40178&srepoch=1729464423&all_sr_blocks=5764818_352856722_2_1_0&highlighted_blocks=5764818_352856722_2_1_0&matching_block_id=5764818_352856722_2_1_0&sr_pri_blocks=5764818_352856722_2_1_0__122127&nad_id=ce9cca9e-d147-4a54-8db9-571eaa2ea58d_0&nad_cpc=0.5&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IktEOXlYeGFQcElPRkx2eDFNNWZnbkNmL1hVWXJ0b3RybWJJYzlzcSt4M3pGTVl3VTh2WVAvVmlBMkYvOXZRVlBJNU45UEJTQVFOUUtXbDhCRVlPRUh0Slo2ejFRK1hmSGlIS2RacWJsaW02TmhIM3FTalNZeDdjOCs5K2VKc1pTODV6NzFkTmg2cVlhb3JFZm0yZEdCdFdTUUIvd2w2MU9TZ0pWNk50dURtQ0t4d2paSklZTEtGM0U0L0JpODZ2MHJ1dmtxWHNvTnplaWQwWHNVcGExUjJyMXZSZEl5b3dkUi9WNWd5bnVtSGV2M0lrbjVNV1NVK2JIL3ZQd3hmQUJPYWFsQ0FxNnFScHpmeXhPanI2cGhSeHIvR29iajNFT0Iza2FrWUl6cUZlVG9VLzNJQ0Urd2ZvbVNPd3NZY2J1ZEM3bmxEd09obDJoaDY4RFB2amdpdmxqSWY3aWZORGg4b2Z3WGh2Wlc4WnBxanFjTTNycGc1L20zaWNOV1ZCd3NHUnJOV3JaMjJvNmR5MmdLZ0tld1Z5SllnTzdaV0JhbFlSK1V0Mnc1OFFJT0lkdDFBYnhDbkFpZXloVitxdENxSmxiNGlidTZOd1FRcVdQc1lqZnlEeHM2NTA5MEM5QWN6OFhLTVczdjJtQ1JGM0dhZmhyTnNRRlRQeU1iT3YvbjBBaHozVjNac3k3cWJHaDBTVlBHZkFoQjV3NjRRbXllellSQTdrU3pLVCtaQjg3NFZ0aVdHYjIvZGVvN3ROcVhCM1JSUWJsZWkxVW1abnpUaHMzQnh6ZmNiSmkyWURxVXVtRzVsR2xJVFRiUlBTYzd0cE95Zmd2R3hGYm9PMkk5eEs4a2QwaDBkQ2dFcklVbVdXaGZ4b2FRNitBVjdNSDJiaXlrLzRvbEhDaFJpMW5PQ0ZtaDBLdnY3SWFVbmZHb09HZTM5bHlaaThGcU1lYXBvTTlicUlMSDNvTzVRVjNybjQxbFpHdW1iZllwWnVrdjBoVUNEY3h3S0FIZXJSQjdvZWRkY3BwQmdsY3k4djZ0Mzc0R2FUek5iTHJid2s3Q0ExdmREaE8rZUFpZUlHVkpnc2YwSTR4bWZaZmVhNHhmUDBjVVVEakROc05EcHNaUXRXSG1EeGMwWGxHN1IzMTFVMUNBazhlTmlvT0dvcU1YTmVjN2VDdVY0bGZGUjVPc1kyMWVwRndLenlUQ280TDhPRlVuNzJ2QXVpZlJuZG5pbUIrSWF3WXhXdE1DM1AxeGE1cEtEcFBtSzVDQ05QLzRLWGVOSnY5NEROMnpuSXp4TG5YaVlmbHFpaEM1VEIzOEo4dFM1SC8xclJvTnJqVkVoaFVUODZnWnFoWWJrQUFib3Znd2tPYmJqaXNzMEZBSEV5MjRhdmpvY1NyeDFOd3QxODBHcXJYVlpneEhQd2k4Yldwbi9FMWxHOWhZcDJoQmtrMkIxV20zTmxqcWVZY0tGTkczUzRsVm5seitteElBQWFZU2VvbnphM0JwSGxaSXkzOEE0aytpRGdzd2F5aVByYmFRYkxVMm00YXhwU2cyeFBtRDhkalFhU1dXZ0RMVmUySUdPOElUQ0NScE8zNFdSUURmVmg4cVRGS013UkxUVWZZWkwydHI0d05VZHlBVk9DQzBVK0pJdk9BT0w4YkEyS0V6b3RnWklQS3BoU05hVW45OEMyUkg5aTJvNnRkYmc2M3cyWXc2NmtobmFjZ25ocysxVVVGU3Q1Z0prM01BZDFHWVQzUHdyT0pkaXBvU1J3a3BtM1FqUTlFR1B5ZWtDQlpQT3RmdjRrdnNmcGlCa1lrdGlkOEtnL0N0bVY4UGlpN1VlVG45WDlycTgvbzFIcHo5NGxudi9XM0YzVE0yRWlWVzkyYzRiR1U2MTVzWmsxOGZVNWFYZUxPc25QdkN5aU1WVmxraE5WOEpOVnlRdEFPVkNyQjJOWHh1eXdib0M0V1JCbHRnL1IyNTZUdVFYNzZYY01qTndFNHFBamZoVmtXa3NwZHFLNGpoMWd6dGhrZERqdXc0b0NTdyt0MjRSRndITUV2TXJYSnMxUDdwRG1oVHNsNDNWVG9kZDZLdXNpUjlvQS9UcFgvK3dhVEJWMURvMUZXMjV5MExHaU1peHlyQW9yN0NLd2ZwNG93YWlnSjVIY21ZSGdWWHBibW1VSjhTaXRwYmQ0QjN4QW45VEVwOUhBMzV3bVV6dTF6NWpwOXNKWmc3eG83MXd3MzFEdUhYb3VIY0ZiSXBtZ09GaEZpR1ZyOWhGU3NTc1Q0RWVxTy9UWEFVMHJjMWYxSkRhYkZDVU1WZEtFcGtGZVpucFkwQlNNOTNlNGZHaVpqL3MrOXF4MDV3WkFVK3lKVmNoQ2V6ZUQrT3pNV2VSOVNhalFYZ0VJeTNJWVZUQThjRFNKM2ZDU3d2d3BtdWx6THF1Tk9FN2hjUlB1TWhjMC9zVVE3ZklsMkp0N04xTGFLMjZMUnVUZDJwOFJtQjVtbVFFMU9NTy9rT3ZoZjVMMWxGbm9USkFldDIxd05qNGNuTU96RWtOay9ucCtrbWNWSzErWGNZVjlucE44TkVTajR6cDdXY3ArS3NOaW9DekQrenJ4enZBczU1Y3BBcDU2bGdNc3NKZFhEK3BGaDQvN25naUlFUkhxTkZTTmw5VXE3WXlVTHEyNUZWSlBMckZpZTNVN0RVYWh4NjdVTDJ2UHFNL29JSU5MbSthTTE4SmgrMDRJbllVSjF1bjdLbkNVeTB5YU83ZkRKc3ozbVZ5NExKRnlhdW9aREFTdzAwMlphOG9kTHRXdllsL09hREdqYjN5bWk4Q2JsdmMwMmtFc0E0L2xDZHRNbnE5TUIweU5MYkJ6blVNelh0Qng2VzZ5VjJyajlBUHNnaHRzQ2xCYUxIbzVZODFTSnBTVkZCOWQwcGRGcklTK0M3bjFnZ3NNaGg1VjBseU52SkxKUTAvNnN5UFlTWFR2QnBZbEpkdklrZDBlUUxObC93NHNVc2tlSGc5WXhMNS9XdWZLVWZnbkF3czlJc2ExaTFTWTVoRmNiU0ZBQVBmb3RzQnNPN0ZXVVZmNUlZWXJVdEthZ01ZRmFOdDZ2K1BJYUxLbFpyelZobUYrdVBnZWxNUVpCeFZrdFJxbW9iNm1pOHY2ekluaFBteGIxT0g4Qk9BWi9PRHVhS1VIUDhoK3pGVnZoQ3dvbXFGNE1wQlJGSDFjd3lldnlicVRkL0F3Zk1OWEJRV3hmbTY3R3czUm5MYWVzRGwrYTYxSmhTd1pmTDV5d3h4WlNuakgvNWFWaXZjOVowODJyZ2NXNW96d0pyV1h4K25HM0h3Sm52MVozd1IxUy9hUmNzTDFTZStCeCJ9&from=searchresults,€,1221,2.9,7.6,787,Yes,No,Habitación con cama grande ,Yes,No,Yes,Yes,No,,No
2,Appart'City Collection Paris Gare de Lyon,https://www.booking.com/hotel/fr/appart-city-collection-paris-gare-de-lyon.es.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gKWARoRogBAZgBCrgBF8gBDNgBAegBAfgBA4gCAagCA7gCnpDWuAbAAgHSAiQ5Y2Q0NjNmMS0zNWRkLTQzM2YtYmIzMy05YmFiOWFmODA4NTTYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-11-08&checkout=2024-11-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=427da00fc2e40178&srepoch=1729464423&all_sr_blocks=1025270004_375351286_0_1_0&highlighted_blocks=1025270004_375351286_0_1_0&matching_block_id=1025270004_375351286_0_1_0&sr_pri_blocks=1025270004_375351286_0_1_0__89630&from_sustainable_property_sr=1&from=searchresults,€,896,2.9,9.0,1237,Yes,No,Estudio Doble,Yes,No,Yes,Yes,Yes,,No
3,Le Patio Bastille,https://www.booking.com/hotel/fr/le-patio-st-antoine.es.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gKWARoRogBAZgBCrgBF8gBDNgBAegBAfgBA4gCAagCA7gCnpDWuAbAAgHSAiQ5Y2Q0NjNmMS0zNWRkLTQzM2YtYmIzMy05YmFiOWFmODA4NTTYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-11-08&checkout=2024-11-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=427da00fc2e40178&srepoch=1729464423&all_sr_blocks=5408101_187974565_0_1_0_441116&highlighted_blocks=5408101_187974565_0_1_0_441116&matching_block_id=5408101_187974565_0_1_0_441116&sr_pri_blocks=5408101_187974565_0_1_0_441116_95836&from=searchresults,€,958,3.0,8.3,3037,Yes,No,Habitación Clásica,Yes,Yes,Yes,Yes,No,,No
4,Austin's Saint Lazare Hotel,https://www.booking.com/hotel/fr/austin-s-saint-lazare.es.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gKWARoRogBAZgBCrgBF8gBDNgBAegBAfgBA4gCAagCA7gCnpDWuAbAAgHSAiQ5Y2Q0NjNmMS0zNWRkLTQzM2YtYmIzMy05YmFiOWFmODA4NTTYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-11-08&checkout=2024-11-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=427da00fc2e40178&srepoch=1729464423&all_sr_blocks=24389902_369300450_2_1_0&highlighted_blocks=24389902_369300450_2_1_0&matching_block_id=24389902_369300450_2_1_0&sr_pri_blocks=24389902_369300450_2_1_0__95895&from_sustainable_property_sr=1&from=searchresults,€,959,2.9,8.1,3281,Yes,No,Habitación Doble,Yes,No,Yes,Yes,No,,No
5,Solly Hôtel Paris,https://www.booking.com/hotel/fr/tulipinnlittlepalace.es.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gKWARoRogBAZgBCrgBF8gBDNgBAegBAfgBA4gCAagCA7gCnpDWuAbAAgHSAiQ5Y2Q0NjNmMS0zNWRkLTQzM2YtYmIzMy05YmFiOWFmODA4NTTYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-11-08&checkout=2024-11-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=427da00fc2e40178&srepoch=1729464423&all_sr_blocks=21222208_91912417_2_1_0&highlighted_blocks=21222208_91912417_2_1_0&matching_block_id=21222208_91912417_2_1_0&sr_pri_blocks=21222208_91912417_2_1_0__150964&from_sustainable_property_sr=1&from=searchresults,€,1510,1.2,8.7,547,Yes,No,Habitación Doble Confort,Yes,No,No,No,No,9.3,No
6,Austin's Arts Et Metiers Hotel,https://www.booking.com/hotel/fr/austin-s-arts-et-metiers.es.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gKWARoRogBAZgBCrgBF8gBDNgBAegBAfgBA4gCAagCA7gCnpDWuAbAAgHSAiQ5Y2Q0NjNmMS0zNWRkLTQzM2YtYmIzMy05YmFiOWFmODA4NTTYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-11-08&checkout=2024-11-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=427da00fc2e40178&srepoch=1729464423&all_sr_blocks=24344202_388855761_2_1_0&highlighted_blocks=24344202_388855761_2_1_0&matching_block_id=24344202_388855761_2_1_0&sr_pri_blocks=24344202_388855761_2_1_0__137147&from_sustainable_property_sr=1&from=searchresults,€,1371,1.1,8.2,2647,Yes,No,Habitación Doble,Yes,No,Yes,Yes,No,,No
7,Les Jardins Du Marais,https://www.booking.com/hotel/fr/les-jardins-du-marais.es.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gKWARoRogBAZgBCrgBF8gBDNgBAegBAfgBA4gCAagCA7gCnpDWuAbAAgHSAiQ5Y2Q0NjNmMS0zNWRkLTQzM2YtYmIzMy05YmFiOWFmODA4NTTYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-11-08&checkout=2024-11-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=427da00fc2e40178&srepoch=1729464423&all_sr_blocks=5408203_235501428_0_1_0_657153&highlighted_blocks=5408203_235501428_0_1_0_657153&matching_block_id=5408203_235501428_0_1_0_657153&sr_pri_blocks=5408203_235501428_0_1_0_657153_205230&from=searchresults,€,2052,1.3,8.3,3990,Yes,No,Suite Junior,Yes,No,Yes,Yes,Yes,,No
8,Hôtel Albe Saint Michel,https://www.booking.com/hotel/fr/hotelalbe.es.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gKWARoRogBAZgBCrgBF8gBDNgBAegBAfgBA4gCAagCA7gCnpDWuAbAAgHSAiQ5Y2Q0NjNmMS0zNWRkLTQzM2YtYmIzMy05YmFiOWFmODA4NTTYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-11-08&checkout=2024-11-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=427da00fc2e40178&srepoch=1729464423&all_sr_blocks=92712_363683574_2_1_0&highlighted_blocks=92712_363683574_2_1_0&matching_block_id=92712_363683574_2_1_0&sr_pri_blocks=92712_363683574_2_1_0__129400&from=searchresults,€,1294,0.6,8.5,3752,Yes,No,Habitación Doble - 2 camas,No,Yes,Yes,Yes,No,9.7,No
9,ibis Styles Paris Bercy,https://www.booking.com/hotel/fr/mercure-paris-bercy.es.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gKWARoRogBAZgBCrgBF8gBDNgBAegBAfgBA4gCAagCA7gCnpDWuAbAAgHSAiQ5Y2Q0NjNmMS0zNWRkLTQzM2YtYmIzMy05YmFiOWFmODA4NTTYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-11-08&checkout=2024-11-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=price%3DEUR-1-500-1%3Bclass%3D3%3Bclass%3D4%3Bclass%3D5%3Bmealplan%3D1%3Breview_score%3D70%3Breview_score%3D80%3Breview_score%3D90%3Bdistance%3D3000&srpvid=427da00fc2e40178&srepoch=1729464423&all_sr_blocks=5369009_97566635_2_33_0&highlighted_blocks=5369009_97566635_2_33_0&matching_block_id=5369009_97566635_2_33_0&sr_pri_blocks=5369009_97566635_2_33_0__71254&from_sustainable_property_sr=1&from=searchresults,€,713,3.0,7.5,9762,Yes,No,Habitación Doble Estándar,Yes,No,No,No,No,,No
